Unnamed: 0,REF_U_1,REF_U_2,REF_U_3,REF_tau_11,REF_tau_12,REF_tau_13,REF_tau_22,REF_tau_23,REF_tau_33,REF_k,REF_a_11,REF_a_12,REF_a_13,REF_a_22,REF_a_23,REF_a_33,REF_b_11,REF_b_12,REF_b_13,REF_b_22,REF_b_23,REF_b_33,REF_gradU_11,REF_gradU_12,REF_gradU_13,REF_gradU_21,REF_gradU_22,REF_gradU_23,REF_gradU_31,REF_gradU_32,REF_gradU_33,REF_divtau_1,REF_divtau_2,REF_divtau_3,REF_tauplus_11,REF_tauplus_12,REF_tauplus_13,REF_tauplus_21,REF_tauplus_22,REF_tauplus_23,REF_tauplus_31,REF_tauplus_32,REF_tauplus_33,REF_Uplus_1,REF_Uplus_2,REF_Uplus_3,REF_yplus,Case
10,4.4102373,3.5451376e-05,0.0,3.1623285,-0.034238707,0.0,0.0044237426,0.0,0.992627,2.0796897,1.7758688,-0.034238707,0.0,-1.3820361,0.0,-0.39383277,0.42695525,-0.008231686,0.0,-0.3322698,0.0,-0.094685465,-10.417199,656450.1,0.0,0.0,10.417199,0.0,0.0,0.0,0.0,-15616.121,2406.6057,0.0,0.34562528,-0.0037421042,0.0,-0.0037421042,0.00048349096,0.0,0.0,0.0,0.10848872,1.4580125,1.1720128e-05,0.0,1.4594324,fp_1000
11,4.899978,4.4266326e-05,0.0,3.940231,-0.04886126,0.0,0.0067539737,0.0,1.1866031,2.5667942,2.2290351,-0.04886126,0.0,-1.704442,0.0,-0.524593,0.43420607,-0.009517956,0.0,-0.3320177,0.0,-0.10218837,-11.560549,655334.3,0.0,0.0,11.560549,0.0,0.0,0.0,0.0,-19392.762,3139.5483,0.0,0.4306458,-0.0053402698,0.0,-0.0053402698,0.00073817256,0.0,0.0,0.0,0.12968925,1.6199194,1.4634326e-05,0.0,1.6222358,fp_1000
12,5.4037147,5.333318e-05,0.0,4.7403636,-0.063901685,0.0,0.009150797,0.0,1.3861223,3.0678184,2.6951516,-0.063901685,0.0,-2.0360615,0.0,-0.65909,0.43926188,-0.010414842,0.0,-0.33184192,0.0,-0.10741998,-12.736572,654186.5,0.0,0.0,12.736572,0.0,0.0,0.0,0.0,-23277.326,3893.4363,0.0,0.51809597,-0.0069841063,0.0,-0.0069841063,0.0010001322,0.0,0.0,0.0,0.15149562,1.7864532,1.7631804e-05,0.0,1.7896916,fp_1000
13,5.9208364,6.3481115e-05,0.0,5.62617,-0.082360946,0.0,0.012221136,0.0,1.5965945,3.617493,3.2145083,-0.082360946,0.0,-2.3994408,0.0,-0.8150674,0.44430056,-0.011383705,0.0,-0.33164415,0.0,-0.1126564,-13.950113,652789.4,0.0,0.0,13.950113,0.0,0.0,0.0,0.0,-27504.627,4737.78,0.0,0.61490977,-0.009001602,0.0,-0.009001602,0.0013357037,0.0,0.0,0.0,0.17449908,1.9574122,2.0986685e-05,0.0,1.9619328,fp_1000
14,6.4498444,7.6272205e-05,0.0,6.7170973,-0.109904684,0.0,0.01711128,0.0,1.8281144,4.281162,3.8629897,-0.109904684,0.0,-2.8369963,0.0,-1.0259933,0.4511614,-0.012835848,0.0,-0.3313349,0.0,-0.11982651,-15.209529,650732.3,0.0,0.0,15.209529,0.0,0.0,0.0,0.0,-32516.115,5803.533,0.0,0.7341422,-0.012011983,0.0,-0.012011983,0.0018701695,0.0,0.0,0.0,0.19980295,2.132301,2.5215382e-05,0.0,2.1390963,fp_1000
15,6.99397,8.942882e-05,0.0,7.8391995,-0.13823552,0.0,0.022141164,0.0,2.0662503,4.9637957,4.5300026,-0.13823552,0.0,-3.287056,0.0,-1.2429467,0.4563043,-0.013924377,0.0,-0.33110306,0.0,-0.12520124,-16.504934,648616.44,0.0,0.0,16.504934,0.0,0.0,0.0,0.0,-37670.812,6899.742,0.0,0.85678184,-0.01510839,0.0,-0.01510839,0.0024199088,0.0,0.0,0.0,0.22582991,2.3121874,2.9564922e-05,0.0,2.3213224,fp_1000
16,7.553405,0.00010307874,0.0,9.001009,-0.16788398,0.0,0.027427293,0.0,2.3114545,5.6699457,5.2210455,-0.16788398,0.0,-3.7525365,0.0,-1.4685092,0.46041408,-0.0148047265,0.0,-0.33091468,0.0,-0.1294994,-17.83558,646403.9,0.0,0.0,17.83558,0.0,0.0,0.0,0.0,-42988.906,8034.701,0.0,0.9837613,-0.018348806,0.0,-0.018348806,0.0029976538,0.0,0.0,0.0,0.2526294,2.497135,3.407755e-05,0.0,2.5087562,fp_1000
17,8.121109,0.000120889075,0.0,10.441555,-0.21470404,0.0,0.036479663,0.0,2.5721178,6.5250764,6.0915046,-0.21470404,0.0,-4.3135715,0.0,-1.7779332,0.4667765,-0.016452225,0.0,-0.33053797,0.0,-0.1362385,-19.147148,642963.0,0.0,0.0,19.147148,0.0,0.0,0.0,0.0,-48975.883,9440.652,0.0,1.1412052,-0.023465982,0.0,-0.023465982,0.0039870283,0.0,0.0,0.0,0.28111845,2.6848166,3.99656e-05,0.0,2.7015462,fp_1000
18,8.705037,0.00013920838,0.0,11.923268,-0.2628621,0.0,0.04579072,0.0,2.84023,7.4046445,6.986839,-0.2628621,0.0,-4.890639,0.0,-2.0961998,0.47178757,-0.01774981,0.0,-0.3302413,0.0,-0.14154626,-20.496197,639423.8,0.0,0.0,20.496197,0.0,0.0,0.0,0.0,-55133.953,10886.781,0.0,1.3031483,-0.028729394,0.0,-0.028729394,0.0050046765,0.0,0.0,0.0,0.31042168,2.8778615,4.602191e-05,0.0,2.8998456,fp_1000
19,9.305653,0.0001580512,0.0,13.447326,-0.31239638,0.0,0.055367872,0.0,3.1160045,8.309349,7.9077597,-0.31239638,0.0,-5.484198,0.0,-2.4235616,0.47583508,-0.018797886,0.0,-0.33000168,0.0,-0.14583342,-21.883799,635783.5,0.0,0.0,21.883799,0.0,0.0,0.0,0.0,-61468.004,12374.238,0.0,1.4697194,-0.034143224,0.0,-0.034143224,0.0060514067,0.0,0.0,0.0,0.3405623,3.0764232,5.2251296e-05,0.0,3.1038122,fp_1000
20,9.913388,0.00018053246,0.0,15.1659355,-0.37827584,0.0,0.06891665,0.0,3.3971522,9.316002,8.955267,-0.37827584,0.0,-6.1417513,0.0,-2.813516,0.48063898,-0.020302478,0.0,-0.3296345,0.0,-0.15100446,-23.275227,630985.06,0.0,0.0,23.275227,0.0,0.0,0.0,0.0,-67875.01,14030.287,0.0,1.6575541,-0.04134349,0.0,-0.04134349,0.0075322143,0.0,0.0,0.0,0.37129024,3.277339,5.9683538e-05,0.0,3.3136072,fp_1000
21,10.533976,0.00020504974,0.0,17.00154,-0.45274955,0.0,0.084515005,0.0,3.6852071,10.385632,10.0777855,-0.45274955,0.0,-6.839239,0.0,-3.2385468,0.48517928,-0.02179692,0.0,-0.3292645,0.0,-0.15591478,-24.690313,625575.6,0.0,0.0,24.690313,0.0,0.0,0.0,0.0,-74416.53,15790.343,0.0,1.8581758,-0.04948306,0.0,-0.04948306,0.00923703,0.0,0.0,0.0,0.40277308,3.4825037,6.778888e-05,0.0,3.529398,fp_1000
22,11.172298,0.00023026763,0.0,18.889599,-0.5293514,0.0,0.10055911,0.0,3.9814937,11.485826,11.232382,-0.5293514,0.0,-7.5566583,0.0,-3.6757236,0.4889671,-0.023043681,0.0,-0.3289558,0.0,-0.16001129,-26.145838,620011.6,0.0,0.0,26.145838,0.0,0.0,0.0,0.0,-81144.984,17600.693,0.0,2.0645304,-0.057855226,0.0,-0.057855226,0.010990562,0.0,0.0,0.0,0.43515557,3.6935313,7.612585e-05,0.0,3.751355,fp_1000
23,11.821699,0.00025783092,0.0,20.868631,-0.6153371,0.0,0.119165614,0.0,4.28187,12.634833,12.445409,-0.6153371,0.0,-8.304056,0.0,-4.141352,0.49250388,-0.02435082,0.0,-0.32861757,0.0,-0.16388631,-27.62087,613783.75,0.0,0.0,27.62087,0.0,0.0,0.0,0.0,-87752.14,19488.727,0.0,2.2808278,-0.06725299,0.0,-0.06725299,0.013024152,0.0,0.0,0.0,0.46798503,3.9082215,8.52382e-05,0.0,3.979655,fp_1000
24,12.472737,0.00029002014,0.0,22.991661,-0.72077674,0.0,0.14327416,0.0,4.580487,13.857711,13.753187,-0.72077674,0.0,-9.0952,0.0,-4.657987,0.49622867,-0.026006343,0.0,-0.32816386,0.0,-0.16806482,-29.085876,606185.25,0.0,0.0,29.085876,0.0,0.0,0.0,0.0,-93807.28,21492.004,0.0,2.5128634,-0.07877697,0.0,-0.07877697,0.015659085,0.0,0.0,0.0,0.5006223,4.1234527,9.587987e-05,0.0,4.2144794,fp_1000
25,13.14238,0.00032312924,0.0,25.175362,-0.8292296,0.0,0.16807166,0.0,4.887637,15.115536,15.098338,-0.8292296,0.0,-9.908952,0.0,-5.1893864,0.49943113,-0.027429713,0.0,-0.32777378,0.0,-0.17165737,-30.592749,598369.56,0.0,0.0,30.592749,0.0,0.0,0.0,0.0,-100035.47,23552.53,0.0,2.75153,-0.09063028,0.0,-0.09063028,0.018369315,0.0,0.0,0.0,0.53419214,4.344835,0.000106825646,0.0,4.4560146,fp_1000
26,13.831158,0.00035718447,0.0,27.421465,-0.94078165,0.0,0.19357777,0.0,5.203565,16.409304,16.481928,-0.94078165,0.0,-10.745958,0.0,-5.7359705,0.50221294,-0.028666105,0.0,-0.32743493,0.0,-0.174778,-32.14268,590330.56,0.0,0.0,32.14268,0.0,0.0,0.0,0.0,-106441.63,25671.936,0.0,2.9970167,-0.10282231,0.0,-0.10282231,0.021156996,0.0,0.0,0.0,0.56872135,4.5725427,0.000118084216,0.0,4.7044516,fp_1000
27,14.507236,0.00039757142,0.0,29.70778,-1.0759277,0.0,0.22756784,0.0,5.507956,17.721651,17.893345,-1.0759277,0.0,-11.586866,0.0,-6.3064785,0.5048442,-0.030356307,0.0,-0.32691273,0.0,-0.17793146,-33.61099,580631.4,0.0,0.0,33.61099,0.0,0.0,0.0,0.0,-111323.12,27830.367,0.0,3.2468987,-0.11759304,0.0,-0.11759304,0.024871925,0.0,0.0,0.0,0.60198957,4.7960525,0.00013143603,0.0,4.9599886,fp_1000
28,15.198728,0.00043975905,0.0,32.05654,-1.2173982,0.0,0.26346496,0.0,5.8185644,19.069284,19.343683,-1.2173982,0.0,-12.449391,0.0,-6.8942924,0.5071948,-0.031920396,0.0,-0.32642522,0.0,-0.18076955,-35.106068,570482.4,0.0,0.0,35.106068,0.0,0.0,0.0,0.0,-116138.055,30047.88,0.0,3.5036054,-0.13305499,0.0,-0.13305499,0.028795285,0.0,0.0,0.0,0.6359374,5.0246577,0.00014538315,0.0,5.2228284,fp_1000
29,15.90998,0.00048315225,0.0,34.47242,-1.3629112,0.0,0.30038786,0.0,6.1380486,20.455427,20.835468,-1.3629112,0.0,-13.336564,0.0,-7.4989033,0.50928944,-0.033314172,0.0,-0.32599083,0.0,-0.18329862,-36.643867,560043.44,0.0,0.0,36.643867,0.0,0.0,0.0,0.0,-121090.586,32328.764,0.0,3.7676477,-0.14895877,0.0,-0.14895877,0.032830756,0.0,0.0,0.0,0.6708553,5.2597957,0.00015972882,0.0,5.493179,fp_1000
30,16.61646,0.00053108705,0.0,36.85277,-1.5210972,0.0,0.34339246,0.0,6.452568,21.824368,22.303194,-1.5210972,0.0,-14.206185,0.0,-8.09701,0.51097006,-0.034848597,0.0,-0.32546616,0.0,-0.18550389,-38.152073,548705.6,0.0,0.0,38.152073,0.0,0.0,0.0,0.0,-124949.77,34606.754,0.0,4.027807,-0.16624764,0.0,-0.16624764,0.037530925,0.0,0.0,0.0,0.70523053,5.4933567,0.00017557593,0.0,5.7712555,fp_1000
31,17.318054,0.0005836909,0.0,39.196663,-1.6923119,0.0,0.39264888,0.0,6.761992,23.175652,23.74623,-1.6923119,0.0,-15.057786,0.0,-8.688443,0.51230985,-0.036510557,0.0,-0.32486218,0.0,-0.18744765,-39.62989,536443.7,0.0,0.0,39.62989,0.0,0.0,0.0,0.0,-127685.27,36881.816,0.0,4.283982,-0.18496047,0.0,-0.18496047,0.042914383,0.0,0.0,0.0,0.7390489,5.7253013,0.0001929666,0.0,6.0572786,fp_1000
32,18.039698,0.00063779793,0.0,41.607536,-1.8684193,0.0,0.44331288,0.0,7.080258,24.565552,25.2305,-1.8684193,0.0,-15.9337225,0.0,-9.296777,0.5135341,-0.038029253,0.0,-0.32431027,0.0,-0.18922386,-41.149944,523831.4,0.0,0.0,41.149944,0.0,0.0,0.0,0.0,-130498.95,39221.895,0.0,4.547477,-0.20420806,0.0,-0.20420806,0.048451684,0.0,0.0,0.0,0.77383363,5.9638743,0.00021085425,0.0,6.3514757,fp_1000
33,18.77225,0.000694522,0.0,44.029396,-2.0506756,0.0,0.4970934,0.0,7.4029646,25.964725,26.719578,-2.0506756,0.0,-16.812725,0.0,-9.906853,0.5145361,-0.039489646,0.0,-0.32376087,0.0,-0.19077522,-42.68908,510777.53,0.0,0.0,42.68908,0.0,0.0,0.0,0.0,-133005.45,41592.582,0.0,4.812173,-0.22412768,0.0,-0.22412768,0.0543296,0.0,0.0,0.0,0.8091037,6.2060547,0.00022960709,0.0,6.6540804,fp_1000
34,19.471302,0.0007588683,0.0,46.19592,-2.2443953,0.0,0.56176287,0.0,7.708808,27.233246,28.040424,-2.2443953,0.0,-17.593735,0.0,-10.44669,0.51481974,-0.0412069,0.0,-0.32301942,0.0,-0.1918003,-44.1357,496895.78,0.0,0.0,44.1357,0.0,0.0,0.0,0.0,-133411.36,43827.76,0.0,5.0489626,-0.24530019,0.0,-0.24530019,0.06139762,0.0,0.0,0.0,0.8425307,6.4371595,0.0002508798,0.0,6.965332,fp_1000
35,20.190332,0.00082505343,0.0,48.42436,-2.443651,0.0,0.62828034,0.0,8.023391,28.538015,29.399015,-2.443651,0.0,-18.397064,0.0,-11.001952,0.51508516,-0.04281396,0.0,-0.32232556,0.0,-0.19275959,-45.62366,482617.3,0.0,0.0,45.62366,0.0,0.0,0.0,0.0,-133828.88,46126.812,0.0,5.2925186,-0.26707774,0.0,-0.26707774,0.06866762,0.0,0.0,0.0,0.87691295,6.6748686,0.0002727604,0.0,7.2854786,fp_1000
36,20.92991,0.00089312997,0.0,50.716484,-2.648601,0.0,0.6966988,0.0,8.346965,29.880074,30.796434,-2.648601,0.0,-19.22335,0.0,-11.573085,0.515334,-0.044320524,0.0,-0.3216751,0.0,-0.1936589,-47.15415,467930.78,0.0,0.0,47.15415,0.0,0.0,0.0,0.0,-134258.33,48491.57,0.0,5.5430355,-0.28947768,0.0,-0.28947768,0.07614539,0.0,0.0,0.0,0.91227776,6.919371,0.00029526633,0.0,7.614774,fp_1000
37,21.625095,0.0009695885,0.0,52.636295,-2.8557603,0.0,0.7769227,0.0,8.652428,31.032822,31.947746,-2.8557603,0.0,-19.911625,0.0,-12.03612,0.51474124,-0.046011932,0.0,-0.32081556,0.0,-0.19392565,-48.584267,453055.25,0.0,0.0,48.584267,0.0,0.0,0.0,0.0,-132818.69,50639.613,0.0,5.75286,-0.31211904,0.0,-0.31211904,0.08491342,0.0,0.0,0.0,0.9456632,7.1491976,0.00032054333,0.0,7.9534802,fp_1000
38,22.329203,0.001049307,0.0,54.537846,-3.0682302,0.0,0.86108416,0.0,8.962051,32.18049,33.084187,-3.0682302,0.0,-20.592577,0.0,-12.491609,0.514041,-0.04767221,0.0,-0.31995437,0.0,-0.19408669,-50.03119,437793.2,0.0,0.0,50.03119,0.0,0.0,0.0,0.0,-131023.72,52801.562,0.0,5.9606895,-0.33534086,0.0,-0.33534086,0.09411181,0.0,0.0,0.0,0.9795034,7.3819737,0.000346898,0.0,8.301866,fp_1000
39,23.053432,0.0011313035,0.0,56.49374,-3.286772,0.0,0.94765073,0.0,9.280523,33.36096,34.2531,-3.286772,0.0,-21.292986,0.0,-12.9601145,0.5133711,-0.049260758,0.0,-0.31913033,0.0,-0.19424075,-51.51946,422094.94,0.0,0.0,51.51946,0.0,0.0,0.0,0.0,-129177.44,55025.297,0.0,6.174458,-0.3592263,0.0,-0.3592263,0.10357306,0.0,0.0,0.0,1.0143106,7.621402,0.00037400587,0.0,8.660207,fp_1000
40,23.744526,0.0012205543,0.0,58.144314,-3.5017385,0.0,1.0438287,0.0,9.587458,34.3878,35.219112,-3.5017385,0.0,-21.88137,0.0,-13.337742,0.51208735,-0.050915424,0.0,-0.31815603,0.0,-0.19393131,-52.945896,406616.6,0.0,0.0,52.945896,0.0,0.0,0.0,0.0,-126321.08,57053.508,0.0,6.3548565,-0.38272095,0.0,-0.38272095,0.114084795,0.0,0.0,0.0,1.0478569,7.8498755,0.00040351192,0.0,9.028788,fp_1000
41,24.423456,0.0013152667,0.0,59.62793,-3.717027,0.0,1.1469862,0.0,9.89093,35.332924,36.072647,-3.717027,0.0,-22.408297,0.0,-13.664352,0.51046795,-0.05260005,0.0,-0.3171022,0.0,-0.19336572,-54.35123,391092.16,0.0,0.0,54.35123,0.0,0.0,0.0,0.0,-122815.59,58986.11,0.0,6.517008,-0.4062508,0.0,-0.4062508,0.12535936,0.0,0.0,0.0,1.0810248,8.074328,0.00043482357,0.0,9.407903,fp_1000
42,25.121788,0.0014126857,0.0,61.153946,-3.9384675,0.0,1.2530917,0.0,10.203074,36.305058,36.950577,-3.9384675,0.0,-22.95028,0.0,-14.000297,0.5088902,-0.05424131,0.0,-0.31607553,0.0,-0.1928147,-55.796726,375124.12,0.0,0.0,55.796726,0.0,0.0,0.0,0.0,-119209.94,60973.94,0.0,6.683793,-0.43045306,0.0,-0.43045306,0.1369561,0.0,0.0,0.0,1.1151404,8.305195,0.00046703004,0.0,9.797851,fp_1000
43,25.796778,0.0015167751,0.0,62.449993,-4.1544013,0.0,1.3672355,0.0,10.507876,37.16255,37.674957,-4.1544013,0.0,-23.4078,0.0,-14.267159,0.5068941,-0.055894993,0.0,-0.31493798,0.0,-0.19195612,-57.22062,359517.28,0.0,0.0,57.22062,0.0,0.0,0.0,0.0,-115143.82,62790.76,0.0,6.825444,-0.45405343,0.0,-0.45405343,0.14943141,0.0,0.0,0.0,1.1484536,8.528344,0.0005014417,0.0,10.198943,fp_1000
44,26.443134,0.0016281406,0.0,63.48029,-4.363407,0.0,1.4901819,0.0,10.80339,37.886932,38.222336,-4.363407,0.0,-23.767773,0.0,-14.454564,0.5044264,-0.057584595,0.0,-0.31366715,0.0,-0.19075924,-58.615574,344369.25,0.0,0.0,58.615574,0.0,0.0,0.0,0.0,-110565.93,64407.36,0.0,6.93805,-0.4768966,0.0,-0.4768966,0.16286877,0.0,0.0,0.0,1.1807516,8.742027,0.0005382588,0.0,10.611497,fp_1000
45,27.10796,0.0017426886,0.0,64.54003,-4.578386,0.0,1.6166418,0.0,11.1073475,38.63201,38.78536,-4.578386,0.0,-24.138031,0.0,-14.6473255,0.5019847,-0.059256375,0.0,-0.31240973,0.0,-0.18957499,-60.050396,328788.38,0.0,0.0,60.050396,0.0,0.0,0.0,0.0,-105857.21,66070.16,0.0,7.0538735,-0.5003926,0.0,-0.5003926,0.17669015,0.0,0.0,0.0,1.2139726,8.961818,0.0005761281,0.0,11.035841,fp_1000
46,27.754549,0.0018640378,0.0,65.41815,-4.7870307,0.0,1.7503126,0.0,11.405468,39.286964,39.22684,-4.7870307,0.0,-24.440998,0.0,-14.785843,0.4992348,-0.060923908,0.0,-0.31105733,0.0,-0.18817745,-61.47279,313631.78,0.0,0.0,61.47279,0.0,0.0,0.0,0.0,-100990.18,67568.766,0.0,7.1498475,-0.5231964,0.0,-0.5231964,0.19129963,0.0,0.0,0.0,1.2465554,9.175578,0.0006162458,0.0,11.472312,fp_1000
47,28.363966,0.0019941272,0.0,66.004684,-4.9829926,0.0,1.893179,0.0,11.6904,39.794132,39.47526,-4.9829926,0.0,-24.636242,0.0,-14.839021,0.49599352,-0.06260964,0.0,-0.30954617,0.0,-0.18644735,-62.855988,299341.66,0.0,0.0,62.855988,0.0,0.0,0.0,0.0,-95948.57,68793.82,0.0,7.2139525,-0.54461396,0.0,-0.54461396,0.20691416,0.0,0.0,0.0,1.2776971,9.37705,0.000659253,0.0,11.921255,fp_1000
48,28.9908,0.002127934,0.0,66.60798,-5.184554,0.0,2.0401282,0.0,11.983476,40.315792,39.730785,-5.184554,0.0,-24.837067,0.0,-14.893719,0.49274468,-0.06429929,0.0,-0.30803147,0.0,-0.18471321,-64.27871,284643.2,0.0,0.0,64.27871,0.0,0.0,0.0,0.0,-90762.88,70053.875,0.0,7.279889,-0.56664354,0.0,-0.56664354,0.2229749,0.0,0.0,0.0,1.3097286,9.584279,0.0007034892,0.0,12.383028,fp_1000
49,29.59828,0.0022692615,0.0,67.04426,-5.377953,0.0,2.1939964,0.0,12.269233,40.753746,39.875095,-5.377953,0.0,-24.975166,0.0,-14.89993,0.48922002,-0.06598109,0.0,-0.30641562,0.0,-0.18280442,-65.69404,270501.66,0.0,0.0,65.69404,0.0,0.0,0.0,0.0,-85613.57,71125.33,0.0,7.3275723,-0.587781,0.0,-0.587781,0.23979186,0.0,0.0,0.0,1.3409604,9.78511,0.00075021165,0.0,12.857997,fp_1000
50,30.169119,0.0024199847,0.0,67.22602,-5.5567055,0.0,2.3562028,0.0,12.540416,41.06132,39.851807,-5.5567055,0.0,-25.018011,0.0,-14.8337965,0.48527187,-0.0676635,0.0,-0.30464205,0.0,-0.1806298,-67.08018,257371.73,0.0,0.0,67.08018,0.0,0.0,0.0,0.0,-80584.555,71901.95,0.0,7.347438,-0.6073176,0.0,-0.6073176,0.25752014,0.0,0.0,0.0,1.3705992,9.973828,0.0008000403,0.0,13.34654,fp_1000
